Node	1	2	3	4	5	6	7	8	9
17150	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17151	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17152	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17153	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17154	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17155	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17156	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17157	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17158	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17159	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
17160	Coarse1	Coarse1	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit	NoUnit
